"No","User1","Zone1","User2","Zone2","Start Time","End Time","Duration"
1,"Mathilda Ng","Meeting Pod","Kelly Tan","Governed Zone","01/06/2021 09:51","01/06/2021 09:56",5
2,"Mathilda Ng","Meeting Pod","Kelly Tan","Governed Zone","01/06/2021 09:57","01/06/2021 10:10",12
3,"Mathilda Ng","Meeting Pod","Kwek Jia Shen","Event Booth","01/06/2021 10:03","01/06/2021 10:14",10
4,"Kelly Tan","Governed Zone","Kwek Jia Shen","Event Booth","01/06/2021 10:05","01/06/2021 10:11",5
5,"Mathilda Ng","Meeting Pod","Kelly Tan","Governed Zone","01/06/2021 10:11","01/06/2021 10:16",5
6,"Kelly Tan","Governed Zone","Kwek Jia Shen","Event Booth","01/06/2021 10:12","01/06/2021 10:21",8
7,"Mathilda Ng","Meeting Pod","Kwek Jia Shen","Event Booth","01/06/2021 10:14","01/06/2021 10:24",9
8,"Kelly Tan","Governed Zone","Kwek Jia Shen","Event Booth","01/06/2021 10:23","01/06/2021 10:29",6
9,"Mathilda Ng","Meeting Pod","Kelly Tan","Governed Zone","01/06/2021 10:33","01/06/2021 10:43",9
10,"Mathilda Ng","Meeting Pod","Kwek Jia Shen","Event Booth","01/06/2021 10:38","01/06/2021 10:44",5
11,"Mathilda Ng","Meeting Pod","Kelly Tan","Governed Zone","01/06/2021 10:44","01/06/2021 11:05",21
12,"Mathilda Ng","Meeting Pod","Kelly Tan","Governed Zone","01/06/2021 11:06","","On-going"
13,"Mathilda Ng","Meeting Pod","Kelly Tan","Governed Zone","01/06/2021 11:15","","On-going"
14,"Mathilda Ng","Meeting Pod","Kelly Tan","Governed Zone","01/06/2021 11:24","","On-going"
